gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier
ADAMTS4_3,ADAMTS4,43.0,dfi_top400,True,43.0,0.3290750945062982,1.3896822091687802,5.888746575388646e-05,0.006847379738824,0.5898826325954538,87.0,0.2954063344498804,1.3436722280916151,0.0011200843442927,0.0633337040934449,0.5817542176381226,True,2.0,0.3454120810117005,1.4125718938042766,0.0001248404321411,0.715346902391918,False,,,,,,4,GSMB;IAMB,0.05;0.1;0.2,3.75,5,GSMB;IAMB,0.05;0.1;0.2,3.8,2,0.4,3.0,2,0.4,3.0,4,0.8,14.75,2,0.4,3.0,1,0.2,6.0,1,0.2,8.0,1,0.2,6.0,1,0.2,6.0,1,0.2,1.0,2,0.4,5.0,2,0.4,6.0,1,0.2,10.0,0.8,20,True,True,True,True,130.0,17.0,high_rna_evidence
CYP4V2_3,CYP4V2,1.0,dfi_top400,True,1.0,-0.427977365286096,0.6518261685305978,1.2490021567164765e-07,0.0006245010783582,0.6601545089882632,1.0,-0.433519950550807,0.6482233600735404,1.2777104290785673e-06,0.0063885521453928,0.6646677860398177,True,1.0,-0.2703616814501765,0.7631034440584482,0.0029558077728891,0.715346902391918,True,1.0,-0.3823111634573093,0.6822827187221173,2.312382261958371e-05,0.7008075477732469,0,,,,0,,,,2,0.4,1.0,2,0.4,1.0,2,0.4,2.5,0,0.0,,0,0.0,,5,1.0,2.6,2,0.4,1.0,2,0.4,1.0,3,0.6,1.6666666666666667,0,0.0,,0,0.0,,5,1.0,3.2,1.0,23,True,True,True,True,2.0,14.0,high_rna_evidence
LOC119878294,LOC119878294,463.0,dfi_os_top500_same_direction,True,479.0,0.2499511181187296,1.2839626526437995,0.004531997915003,0.0473068675887581,0.5883969692467687,341.0,0.2552964383853753,1.2908442199378931,0.0066820921967102,0.0979778914473647,0.58695130726793,False,,,,,,True,2.0,0.2861727413006191,1.3313224097550045,0.0011346737677555,0.7008075477732469,6,GSMB;IAMB,0.05;0.1;0.2,7.166666666666667,6,GSMB;IAMB,0.05;0.1;0.2,6.833333333333333,3,0.6,4.666666666666667,3,0.6,4.666666666666667,0,0.0,,1,0.2,11.0,1,0.2,9.0,0,0.0,,1,0.2,2.0,1,0.2,2.0,0,0.0,,1,0.2,4.0,1,0.2,5.0,0,0.0,,0.6,12,True,True,True,True,820.0,12.0,high_rna_evidence
LAG3_3,LAG3,189.0,dfi_top400,True,189.0,-0.3048226970704869,0.7372540801122311,0.0006428349853068,0.0170062165425093,0.581042935670777,218.0,-0.2787309062700546,0.7567435107529833,0.0036406229747196,0.083500526943112,0.5814343967378268,True,5.0,-0.2678082375193673,0.7650544757812417,0.002884714041541,0.715346902391918,False,,,,,,0,,,,0,,,,3,0.6,4.666666666666667,3,0.6,4.666666666666667,1,0.2,1.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,3.0,2,0.4,3.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.6,11,True,True,True,True,407.0,11.0,high_rna_evidence
DDIT4_3,DDIT4,404.0,os_top200,True,555.0,0.2383735727553368,1.2691832365531934,0.0061641201272318,0.0555074501221974,0.5772544941316298,63.0,0.3113393142620931,1.365252392209484,0.0007689008996691,0.0600494722456207,0.5920684416726633,False,,,,,,True,3.0,0.3017810394535349,1.3522651015851972,0.0005404349440697,0.7008075477732469,5,GSMB;IAMB,0.05;0.1;0.2,9.2,6,GSMB;IAMB,0.05;0.1;0.2,8.833333333333334,0,0.0,,0,0.0,,1,0.2,23.0,1,0.2,9.0,1,0.2,7.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,13.0,2,0.4,9.0,3,0.6,7.333333333333333,0,0.0,,0.6,10,True,True,True,True,618.0,11.0,high_rna_evidence
GPRC5C_3,GPRC5C,193.0,dfi_top400,True,193.0,0.2921588396685874,1.339315737212526,0.0006607451370492,0.0170873551972836,0.5895854999257168,11.0,0.3864692237140926,1.4717751005980737,6.457839452768006e-05,0.0293538156944,0.6238906212520988,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,1.0,4,GSMB;IAMB,0.05;0.1;0.2,1.0,0,0.0,,0,0.0,,0,0.0,,4,0.8,6.5,4,0.8,7.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,10.0,2,0.4,4.0,2,0.4,5.0,2,0.4,8.0,0.8,16,True,True,True,True,204.0,10.0,high_rna_evidence
DSCC1_3,DSCC1,12.0,dfi_top400,True,12.0,0.3688088947908424,1.4460112369881353,1.133010603787192e-05,0.004622737668053,0.6195216164017233,40.0,0.3396449901775678,1.4044489088926244,0.0003802932837972,0.0475366604746541,0.60997841208923,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,6.666666666666667,6,GSMB;IAMB,0.05;0.1;0.2,4.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,3,0.6,4.666666666666667,2,0.4,3.5,0,0.0,,0.6,5,True,True,True,True,52.0,10.0,high_rna_evidence
ACSS3_3,ACSS3,41.0,dfi_top400,True,41.0,-0.3420835611236534,0.710288849694927,5.799392589292583e-05,0.006847379738824,0.5981280641806567,47.0,-0.3173179703775553,0.7280992043356063,0.0005155936318855,0.0514285554615664,0.6050211881346446,False,,,,,,False,,,,,,2,GSMB;IAMB,0.2,6.0,4,GSMB;IAMB,0.05;0.1;0.2,3.75,0,0.0,,0,0.0,,0,0.0,,2,0.4,8.0,3,0.6,9.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,8.5,2,0.4,9.5,0,0.0,,0.6,9,True,True,True,True,88.0,10.0,high_rna_evidence
CENPV_3,CENPV,25.0,dfi_top400,True,25.0,0.3489908112138887,1.417636163926644,3.0282858950511936e-05,0.0060565717901023,0.6216015450898826,126.0,0.2732061885789545,1.3141711839804275,0.0017476509828192,0.0690536748897905,0.6068601583113457,False,,,,,,False,,,,,,6,GSMB;IAMB,0.05;0.1;0.2,9.333333333333334,2,GSMB,0.05;0.1,7.5,0,0.0,,0,0.0,,1,0.2,21.0,3,0.6,5.333333333333333,2,0.4,4.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,9.0,1,0.2,10.0,0,0.0,,0.6,8,True,True,True,True,151.0,8.0,high_rna_evidence
ELOVL4_3,ELOVL4,157.0,dfi_top400,True,157.0,0.3112947809237542,1.3651915943165602,0.0004457090148228,0.0141945546121933,0.5964938344971029,43.0,0.3521725708381061,1.4221539248381552,0.0004396525553773,0.0509743882947822,0.6214919644998801,False,,,,,,False,,,,,,2,GSMB,0.05;0.2,11.5,6,GSMB;IAMB,0.05;0.1;0.2,11.666666666666666,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,7.0,2,0.4,7.0,0,0.0,,0.4,4,True,True,True,True,200.0,8.0,high_rna_evidence
